nr,file_name,rec_id,samples,dur_s,rpk_cnt,annN,annS,annV,annU,mlS,mlV,mlU,ann_nz_cnt,ann_nz_frac,ml_nz_cnt,ml_nz_frac,flags,json_ok
1,1763572.391,691dfd748d4b8afb76a3f76c,127999,639.995,896,896,0,0,0,0,0,2,0,0.0,0,0.0,[],True
2,1763573.014,691e0dcadfe15b8b72dc954f,128000,640.0,889,889,0,0,0,0,0,2,0,0.0,0,0.0,[],True
3,1763573.636,691e022ddfe15b8b72dc9545,128000,640.0,870,870,0,0,0,0,0,4,0,0.0,0,0.0,[],True
4,1763574.258,691e047edfe15b8b72dc9547,128000,640.0,807,807,0,0,0,0,0,2,0,0.0,0,0.0,[],True
5,1763574.880,691e06ecdfe15b8b72dc954a,128000,640.0,802,802,0,0,0,0,0,2,0,0.0,0,0.0,[],True
6,1763575.502,691e0954dfe15b8b72dc954c,128000,640.0,807,807,0,0,0,0,0,2,0,0.0,0,0.0,[],True
7,1763576.125,691e0bcf8d4b8afb76a3f773,128000,640.0,836,836,0,0,0,0,0,2,0,0.0,0,0.0,[],True
8,1763576.747,691e2119dfe15b8b72dc9556,102400,512.0,428,428,0,0,0,0,0,5,0,0.0,0,0.0,[],True
