sequence_id,recording_id,channel_count,user_id,bin_bytes,samples,duration_s,flags_count,flags,rpeaks_count,rpeak_ann_counts,json_ok,annotated_noises_count,annotated_noises_fraction,has_comment,json_keys
659ec124870b3d1d1630be39,659ebe17870b3d0de330bc5c,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,741,"{""N"": 741}",True,6,0.01000390625,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d0f5430bc33,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,496,"{""N"": 496}",True,0,0.0,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d107630bc42,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,707,"{""N"": 707}",True,5,0.02833203125,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d16a130bc41,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,661,"{""N"": 661}",True,4,0.0051953125,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d2a8030bc4b,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,625,"{""N"": 625}",True,2,0.01332421875,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d2c3330bc4a,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,1004,"{""N"": 1004}",True,4,0.00672265625,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d2fd430bc3b,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,623,"{""N"": 623}",True,2,0.00143359375,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d306f30bc1d,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,467,"{""N"": 467}",True,0,0.0,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d384c30bc26,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,472,"{""N"": 472}",True,0,0.0,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d3c0730bc5b,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,800,"{""N"": 800}",True,12,0.02413671875,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d3c1230bc3a,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,697,"{""N"": 697}",True,18,0.06123828125,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d3faf30bc46,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,586,"{""N"": 586}",True,24,0.02726953125,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d42a730bc5e,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,600,"{""N"": 600}",True,18,0.089890625,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d434530bc4f,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,604,"{""N"": 604}",True,10,0.0298828125,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
659ec124870b3d1d1630be39,659ebe17870b3d50ae30bc57,1,65955b5f50e02b125d4998ad,512000,256000,1280.0,0,,670,"{""N"": 670}",True,16,0.07294140625,False,channelCount|comment|flags|noises|noises_annotated|recordingId|rpeakAnnotationCounts|rpeaks|userId
