filename,basename,lookup_key_used,status
1001_6.npy,1670188.752,1001_6.npy,OK
1001_8.npy,1670183.201,1001_8.npy,OK
1004_0.npy,1630715.197,1004_0.npy,OK
1005_0.npy,1630733.908,1005_0.npy,OK
1005_4.npy,1630736.382,1005_4.npy,OK
1006_1.npy,1630797.676,1006_1.npy,OK
1007_1.npy,1630959.214,1007_1.npy,OK
1008_0.npy,1630771.589,1008_0.npy,OK
1008_12.npy,1630758.549,1008_12.npy,OK
1009_12.npy,1631057.107,1009_12.npy,OK
1009_13.npy,1631056.479,1009_13.npy,OK
1010_0.npy,1630869.824,1010_0.npy,OK
1011_0.npy,1630890.629,1011_0.npy,OK
1011_1.npy,1630878.738,1011_1.npy,OK
1013_13.npy,1631074.415,1013_13.npy,OK
1013_14.npy,1631080.143,1013_14.npy,OK
1015_0.npy,1630995.587,1015_0.npy,OK
1015_17.npy,1630941.751,1015_17.npy,OK
1017_0.npy,1631280.395,1017_0.npy,OK
1018_6.npy,1631087.069,1018_6.npy,OK
1018_7.npy,1631085.830,1018_7.npy,OK
1019_0.npy,1631036.053,1019_0.npy,OK
1019_1.npy,1631013.491,1019_1.npy,OK
1023_0.npy,1632340.564,1023_0.npy,OK
1024_0.npy,1632252.683,1024_0.npy,OK
1025_0.npy,1632471.213,1025_0.npy,OK
1026_0.npy,1632731.258,1026_0.npy,OK
1026_4.npy,1632728.750,1026_4.npy,OK
1027_0.npy,1633044.261,1027_0.npy,OK
1028_1.npy,1633041.936,1028_1.npy,OK
1029_0.npy,1633047.767,1029_0.npy,OK
1097_0.npy,1646777.284,1097_0.npy,OK
1097_1.npy,1646779.781,1097_1.npy,OK
1102_0.npy,1743959.255,1102_0.npy,OK
1102_1.npy,1743958.630,1102_1.npy,OK
