sequence_id,recording_id,channel_count,user_id,bin_bytes,samples,duration_s,flags_count,flags,rpeaks_count,ann_n_count,ann_s_count,ann_v_count,ann_u_count,json_ok,annotated_noises_count,annotated_noises_fraction,has_comment,json_keys_correct,_annotated_noises_samples
659ec124870b3d1d1630be39,659ebcdd870b3d08c130bb71,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],496,496,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d1d6e30bb61,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],503,503,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d277330bb79,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],469,469,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d2d4530bb68,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],571,571,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d36d630bb66,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],472,472,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d424b30bb69,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],566,566,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d49c730bb49,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],724,724,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d4d2b30bb81,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],473,473,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d53a530bb7b,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],463,463,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d57fc30bb7d,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],466,466,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d641c30bb67,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],473,473,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d693630bb6b,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],478,478,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d813c30bb75,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],507,507,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3d99ab30bb78,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],465,465,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3da3dd30bb77,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],477,477,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3db39330bb6f,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],483,483,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3dfb2430bb64,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],501,501,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebcdd870b3dfe0230bb65,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],655,655,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebe17870b3d0d8730bc31,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],495,495,0,0,0,True,0,0.0,False,True,0
659ec124870b3d1d1630be39,659ebe17870b3d0de330bc5c,1,65955b5f50e02b125d4998ad,512000,128000,640.0,0,[],741,741,0,0,0,True,0,0.0,False,True,0
