nr,file_name,rec_id,uid,samples,dur_s,rpk_cnt,annN,annS,annV,annU,ann_nz_cnt,ann_nz_frac,nz_cnt,nz_frac
1,1001_6.npy,638d8f609e4d4309eebbb0f1,60a917b354352a3df86dc1f2,128000,640.0,720,718,0,2,0,1,0.234375,0,0.0
2,1001_8.npy,638d8f5d9e4d43301ebbb0df,60a917b354352a3df86dc1f2,128000,640.0,739,737,0,2,0,1,0.46875,0,0.0
3,1004_0.npy,613f59083d08d46e7acdce29,613b1c013d08d44862cdc8f2,127999,639.995,612,610,2,0,0,6,6.562551269931796,0,0.0
4,1005_0.npy,613f56f73d08d4485dcdcb87,613b1c6f3d08d4370acdc8f3,127999,639.995,564,559,5,0,0,1,0.07812561035633091,0,0.0
5,1005_4.npy,613f56f73d08d4bc97cdcb8a,613b1c6f3d08d4370acdc8f3,127999,639.995,542,540,1,1,0,1,0.31250244142532363,0,0.0
6,1006_1.npy,613f59533d08d413facdcebb,613b1c9c3d08d43181cdc8f4,127999,639.995,581,580,0,1,0,1,0.31250244142532363,0,0.0
7,1007_1.npy,613b221f3d08d453a1cdc914,613b1cc33d08d4c0d5cdc8f5,127999,639.995,612,612,0,0,0,2,0.9375073242759709,0,0.0
8,1008_0.npy,613f58593d08d4cec1cdccf1,613b1d0c3d08d413ffcdc8f6,127999,639.995,747,724,2,21,0,1,0.07812561035633091,0,0.0
9,1008_12.npy,613f58593d08d461c8cdcce8,613b1d0c3d08d413ffcdc8f6,127999,639.995,717,708,4,5,0,5,6.093797607793811,0,0.0
10,1009_12.npy,613b22d43d08d443f5cdc98e,613b1d673d08d4d1f3cdc8f8,127999,639.995,779,776,3,0,0,2,6.875053711357119,0,0.0
11,1009_13.npy,613b22d43d08d43f31cdc98d,613b1d673d08d4d1f3cdc8f8,127999,639.995,800,797,3,0,0,1,0.15625122071266181,0,0.0
12,1010_0.npy,613f58b73d08d439a0cdcda2,613b1d903d08d4df57cdc8f9,127999,639.995,749,748,1,0,0,3,1.2500097657012945,0,0.0
13,1011_0.npy,613f59b33d08d46608cdcf38,613b1db23d08d4ea68cdc8fa,127999,639.995,604,600,0,4,0,1,0.9375073242759709,0,0.0
14,1011_1.npy,613f59b33d08d40c95cdcf25,613b1db23d08d4ea68cdc8fa,127999,639.995,714,713,1,0,0,6,7.187556152782444,0,0.0
15,1013_13.npy,6144cd8bbd0cc524f92753b3,6144c4fbbd0cc552e427535f,127999,639.995,716,584,0,132,0,3,2.265642700333596,0,0.0
16,1013_14.npy,6144cd8bbd0cc5b5c3275399,6144c4fbbd0cc552e427535f,127999,639.995,726,597,0,129,0,1,1.5625122071266182,0,0.0
17,1015_0.npy,6145b1a6bd0cc52da6275905,6144c588bd0cc52ba0275362,127999,639.995,558,493,0,65,0,4,1.640637817482949,0,0.0
18,1015_17.npy,6145b1a6bd0cc582a4275926,6144c588bd0cc52ba0275362,127999,639.995,603,578,0,25,0,1,0.15625122071266181,0,0.0
19,1017_0.npy,6145a8e4bd0cc5fb9827553c,6144c5e5bd0cc503ed275364,127999,639.995,518,518,0,0,0,1,0.15625122071266181,0,0.0
20,1018_6.npy,6145aef2bd0cc5522427584e,6144c658bd0cc5a1c0275367,127999,639.995,620,619,0,1,0,2,2.1093914796209345,0,0.0
21,1018_7.npy,6145aef2bd0cc5235e27584c,6144c658bd0cc5a1c0275367,127999,639.995,613,612,0,1,0,1,0.15625122071266181,0,0.0
22,1019_0.npy,6145fd97bd0cc5ed18275bc8,6144c682bd0cc5acb7275368,127999,639.995,998,875,0,123,0,5,1.5625122071266182,0,0.0
23,1019_1.npy,6145fd97bd0cc560c4275ba3,6144c682bd0cc5acb7275368,127999,639.995,777,672,0,105,0,3,0.5468792724943163,0,0.0
24,1023_0.npy,614dc6914bac1c1cd8017db9,614dbf7e4bac1c78af017aed,127999,639.995,846,846,0,0,0,1,0.31250244142532363,0,0.0
25,1024_0.npy,614dc6c74bac1c84d1017e13,614dbfa84bac1c1231017aee,127999,639.995,548,547,1,0,0,1,0.9375073242759709,0,0.0
26,1025_0.npy,614dc6ff4bac1c3a8d017f07,614dbfd24bac1cce7b017aef,127999,639.995,880,869,11,0,0,7,3.593778076391222,0,0.0
27,1026_0.npy,61570a262312e57080168e75,615708ba2312e518c0168e69,127999,639.995,745,724,0,21,0,5,1.796889038195611,0,0.0
28,1026_4.npy,61570a262312e52b82168e70,615708ba2312e518c0168e69,127999,639.995,851,841,0,10,0,11,15.078242798771866,0,0.0
29,1027_0.npy,61570a9f2312e5391b168f61,615708ea2312e56066168e6a,127999,639.995,759,758,0,1,0,8,4.0625317385292075,0,0.0
30,1028_1.npy,61570af62312e5021c168fd1,6157091f2312e5b88c168e6b,127999,639.995,655,654,1,0,0,2,0.6250048828506473,0,0.0
31,1029_0.npy,61570b7b2312e5693f169094,615709472312e5fe91168e6c,127999,639.995,652,651,1,0,0,3,3.515652466034891,0,0.0
32,1097_0.npy,622e39423c70e641048a2985,622dfe483c70e6abd58a21ab,127999,639.995,560,508,52,0,0,2,2.1093914796209345,0,0.0
33,1097_1.npy,622e39423c70e65ff88a29fd,622dfe483c70e6abd58a21ab,127999,639.995,651,626,25,0,0,1,0.15625122071266181,0,0.0
34,1102_0.npy,67f2cf89a588a8cdf08b3cfd,655341fe7f978676df92e657,128000,640.0,714,613,0,101,0,1,0.78125,0,0.0
35,1102_1.npy,67f2cf73f29283f5095d754d,655341fe7f978676df92e657,128000,640.0,718,608,0,110,0,0,0.0,0,0.0
